Original_ring,Replacement_ring,DateReplacement,DoubleTag,DoubleTagON,DoubleTagOff,LostRing,DoubleTagPeriod
EE02209,"",,A88,2017-03-17,2021-05-08,0,1513
EE02211,"",,A90,2017-03-17,2017-04-25,0,39
EE02212,"",,C00,2018-04-30,2021-05-21,0,1117
EE02214,EE04290,2019-03-25,A85,2017-06-06,2019-03-25,1,657
EE02216,"",,A69,2017-03-17,2021-05-21,0,1526
EE02220,"",,A10,2017-03-05,2020-04-24,0,1146
EE02221,"",,A29,2017-05-12,2019-05-21,0,739
EE02226,"",,D47,2020-02-13,2023-06-08,0,1211
EE02227,"",,C36,2017-03-20,2018-06-22,0,459
EE02228,"",,A38,2017-03-17,2021-05-23,0,1528
EE02230,"",,A99,2017-03-22,2017-07-07,0,107
EE02235,"",,A97,2017-03-22,2020-02-13,0,1058
EE02239,"",,A93,2017-03-15,2018-04-03,0,384
EE02242,"",,C01,2017-03-16,2021-05-08,0,1514
EE02246,"",,BLM,2018-05-30,2021-05-08,0,1074
EE02450,"",,FF03206,2019-06-24,2024-05-30,0,1802
EE02518,"",,D30,2020-02-13,2021-05-16,0,458
EE02539,"",,A82,2018-05-04,2021-05-14,0,1106
EE02540,"",,A48,2017-04-18,2023-06-12,0,2246
EE02622,"",,A27,2017-03-05,2022-05-03,0,1885
EE02623,"",,A79,2017-04-27,2021-04-28,0,1462
EE02730,"",,FF03219,2019-07-02,2025-03-11,0,2079
EE02733,EE04792,2021-05-16,A32,2017-03-05,2021-05-16,0,1533
EE03004,FF03203,2024-04-18,FF03203,2019-06-18,2024-04-18,1,1766
EE03010,"",,A76,2017-03-17,2021-05-07,0,1512
EE03011,"",,A80,2017-04-18,2020-04-10,0,1088
EE03014,"",,FF04833,2019-06-27,2023-05-11,0,1414
EE03029,"",,A33,2017-06-06,2022-05-24,0,1813
EE03030,"",,C29,2017-03-03,2023-06-08,0,2288
EE03031,"",,C05,2017-03-17,2017-04-18,0,32
EE03035,"",,C27,2017-03-20,2022-06-08,0,1906
EE03038,"",,A36,2017-03-17,2019-05-08,0,782
EE03040,"",,A67,2017-03-15,2019-05-21,0,797
EE03041,"",,A31,2017-03-13,2021-03-29,0,1477
EE03045,"",,C44,2018-03-24,2021-05-14,0,1147
EE03050,"",,D10,2019-03-25,2021-05-08,0,775
EE03061,"",,C14,2017-03-20,2023-06-08,0,2271
EE03072,"",,FF04835,2019-06-29,2020-04-24,0,300
EE03094,"",,C28,2018-04-03,2019-05-08,0,400
EE03114,"",,FF03207,2019-06-25,2020-03-19,0,268
EE03117,"",,A08,2017-05-12,2017-05-26,0,14
EE03167,"",,FF04845,2020-06-26,2021-03-06,0,253
EE03183,"",,A86,2017-04-18,2021-05-22,0,1495
EE03260,"",,A07,2017-03-05,2022-05-03,0,1885
EE03261,"",,C18,2017-03-20,2018-05-30,0,436
EE03262,"",,C13,2017-03-20,2021-05-14,0,1516
EE03263,EE09427,2024-05-27,C23,2017-03-20,2024-05-27,1,2625
EE03265,"",,D32,2019-05-08,2021-05-11,0,734
EE03269,"",,D17,2019-03-04,2022-06-08,0,1192
EE03271,"",,A84,2017-04-13,2022-05-03,0,1846
EE03282,"",,A04,2017-05-12,2022-05-03,0,1817
EE03307,"",,C35,2017-03-17,2019-05-08,0,782
EE03325,"",,A06,2017-03-06,2022-05-03,0,1884
EE03326,"",,A68,2017-03-17,2021-05-15,0,1520
EE03328,"",,A46,2017-03-13,2019-05-08,0,786
EE03334,"",,A43,2017-03-13,2018-05-04,0,417
EE03337,"",,C15,2017-03-17,2017-05-12,0,56
EE03339,"",,C04,2017-03-17,2020-04-01,0,1111
EE03427,"",,D04,2018-05-30,2022-06-08,0,1470
EE03670,EE09105,2023-06-08,A05,2018-04-30,2023-06-08,1,1865
EE03727,"",,A01,2018-05-04,2023-06-12,0,1865
EE03729,EE04252,2020-04-24,A02,2018-05-04,2022-05-03,0,1460
EE03731,"",,C42,2018-04-03,2021-04-28,0,1121
EE03732,"",,C49,2018-04-03,2021-05-08,0,1131
EE03733,"",,C26,2018-04-03,2022-05-03,0,1491
EE03748,"",,C48,2018-03-13,2021-05-19,0,1163
EE03749,"",,C31,2018-03-13,2021-04-28,0,1142
EE03772,"",,A44,2018-03-04,2022-05-03,0,1521
EE03773,"",,C33,2018-01-25,2020-02-13,0,749
EE03802,"",,FF04843,2020-06-03,2021-05-12,0,343
EE03922,"",,FF04838,2019-07-02,2025-04-22,0,2121
EE03963,"",,D42,2018-07-02,2021-05-14,0,1047
EE03984,"",,FF04834,2019-06-27,2020-03-20,0,267
EE04096,"",,FF03209,2019-06-28,2025-03-17,0,2089
EE04105,"",,FF03211,2019-07-04,2020-05-29,0,330
EE04115,"",,D22,2019-06-03,2023-06-08,0,1466
EE04185,FF03205,2021-05-18,FF03205,2019-06-22,2021-05-18,1,696
EE04207,EE06697,2021-04-28,D18,2019-03-25,2021-04-28,1,765
EE04208,"",,A11,2019-03-25,2021-05-16,0,783
EE04209,EE09172,2023-06-12,A13,2019-03-25,2023-07-04,0,1562
EE04228,FF04829,2025-03-11,FF04829,2019-06-19,2025-03-11,1,2092
EE04236,"",,D13,2019-03-04,2021-05-26,0,814
EE04240,"",,C38,2019-03-04,2021-05-19,0,807
EE04270,"",,D46,2020-02-13,2023-06-08,0,1211
EE04288,"",,D20,2019-03-25,2022-05-03,0,1135
EE04323,"",,D31,2019-04-20,2020-04-24,0,370
EE04342,"",,D29,2019-05-08,2021-05-08,0,731
EE04347,"",,D19,2019-05-08,2021-05-15,0,738
EE06632,"",,D00,2020-04-10,2020-04-24,0,14
EE06633,"",,D69,2020-04-10,2023-06-08,0,1154
EE06634,"",,D63,2020-04-10,2021-05-21,0,406
EE06635,EE09670,2024-05-02,D65,2020-04-10,2024-05-02,1,1483
EE06802,"",,FF04849,2020-06-08,2023-04-12,0,1038
EE06905,"",,FF04841,2020-05-22,2025-05-01,0,1805
FF03183,"",,A62,2017-04-27,2021-05-21,0,1485
FF03185,"",,A54,2017-03-27,2021-05-23,0,1518
FF03186,"",,C17,2017-06-29,2018-05-30,0,335
FF03195,"",,A49,2017-05-12,2020-04-24,0,1078
FF03197,"",,A17,2017-03-05,2021-05-16,0,1533
FF03262,"",,A18,2017-03-05,2017-04-18,0,44
FF03264,"",,A21,2017-03-27,2020-05-11,0,1141
FF03267,"",,A56,2017-03-14,2020-05-11,0,1154
FF03269,"",,C34,2018-03-13,2021-04-28,0,1142
FF03270,"",,A12,2017-03-05,2021-05-21,0,1538
FF03273,"",,C19,2017-03-17,2023-06-08,0,2274
